Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
71413,Skin Folk,Nalo Hopkinson,"Hopkinson, Nalo",,"=""0446678031""","=""9780446678032""",0,4.00,Aspect,Paperback,255,2001,2001,,2020/05/16,"afrofuturism, to-read","afrofuturism (#4), to-read (#362)",to-read,,,,0,,,0,,,,,
26114130,Everfair,Nisi Shawl,"Shawl, Nisi",,"=""076533805X""","=""9780765338051""",0,3.24,Tor Books,Hardcover,381,2016,2016,,2019/12/01,"black-authors-to-read, to-read, afrofuturism","black-authors-to-read (#7), to-read (#106), afrofuturism (#3)",to-read,,,,0,,,0,,,,,
33363,Mama Day,Gloria Naylor,"Naylor, Gloria",,"=""0679721819""","=""9780679721819""",0,4.17,Vintage,Paperback,312,1989,1988,,2020/03/06,"to-read, black-authors-to-read, afrofuturism","to-read (#124), black-authors-to-read (#21), afrofuturism (#2)",to-read,,,,0,,,0,,,,,
25667918,"Binti (Binti, #1)",Nnedi Okorafor,"Okorafor, Nnedi",,"=""0765384469""","=""9780765384461""",0,3.93,Tor.com,ebook,96,2015,2015,,2020/05/16,"afrofuturism, to-read","afrofuturism (#1), to-read (#361)",to-read,,,,0,,,0,,,,,
27003,"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,"Fforde, Jasper",,"=""0142001805""","=""9780142001806""",3,3.88,Penguin Books,Paperback,374,2003,2001,2020/05/16,2020/05/14,"2020, covid-reading, crime-fiction, fiction, novel, recommended-to-me, time-travel","2020 (#54), covid-reading (#22), crime-fiction (#33), fiction (#332), novel (#75), recommended-to-me (#44), time-travel (#18)",read,,,,1,,,0,,,,,
27001,The Well of Lost Plots (Thursday Next #3),Jasper Fforde,"Fforde, Jasper",,"=""0143034359""","=""9780143034353""",0,4.10,Penguin Books,Paperback,375,2004,2004,,2020/05/14,to-read,to-read (#360),to-read,,,,0,,,0,,,,,
6628,"The Big Over Easy (Nursery Crime, #1)",Jasper Fforde,"Fforde, Jasper",,"=""0143037234""","=""9780143037231""",0,3.94,Penguin,Paperback,383,2006,2005,,2020/05/14,to-read,to-read (#359),to-read,,,,0,,,0,,,,,
26999,"Something Rotten (Thursday Next, #4)",Jasper Fforde,"Fforde, Jasper",,"=""014303541X""","=""9780143035411""",0,4.16,Penguin Books,Paperback,385,2005,2004,,2020/05/14,to-read,to-read (#358),to-read,,,,0,,,0,,,,,
27000,"Lost in a Good Book (Thursday Next, #2)",Jasper Fforde,"Fforde, Jasper",,"=""0142004030""","=""9780142004036""",0,4.14,Penguin Books,Paperback,399,2004,2002,,2020/05/14,to-read,to-read (#357),to-read,,,,0,,,0,,,,,
540864,Allah is Not Obliged,Ahmadou Kourouma,"Kourouma, Ahmadou",Frank Wynne,"=""030727957X""","=""9780307279576""",0,3.69,Anchor Books,Paperback,215,2007,2000,2020/05/13,2020/05/12,"2020, africa, african-authors-read, authors-of-color, black-authors-read, covid-reading, fiction, novel, translation","2020 (#53), africa (#23), african-authors-read (#11), authors-of-color (#58), black-authors-read (#51), covid-reading (#21), fiction (#331), novel (#74), translation (#31)",read,,,,1,,,0,,,,,
588234,Ceremony,Leslie Marmon Silko,"Silko, Leslie Marmon",,"=""0140086838""","=""9780140086836""",0,3.77,Penguin Books,Paperback,262,1986,1977,,2020/05/13,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
413177,Beasts of No Nation,Uzodinma Iweala,"Iweala, Uzodinma",,"=""0060798688""","=""9780060798680""",0,3.75,Harper Perennial,Paperback,142,2006,2005,,2020/05/12,to-read,to-read (#356),to-read,,,,0,,,0,,,,,
35180983,Speak No Evil,Uzodinma Iweala,"Iweala, Uzodinma",,"=""0062798960""","=""9780062798961""",0,3.89,HarperAudio,Audiobook,7,2018,2018,,2020/05/12,to-read,to-read (#355),to-read,,,,0,,,0,,,,,
541703,Waiting for the Wild Beasts to Vote,Ahmadou Kourouma,"Kourouma, Ahmadou",Jana Karfíková,"=""0099283824""","=""9780099283829""",0,3.87,Vintage,Paperback,445,2004,1998,,2020/05/12,to-read,to-read (#354),to-read,,,,0,,,0,,,,,
34290,"The Chronicles of Chrestomanci, Vol. 2 (Chrestomanci #3-4)",Diana Wynne Jones,"Jones, Diana Wynne",,"=""""","=""""",5,4.20,Greenwillow Books,Paperback,548,2007,1982,2020/05/10,2020/05/09,"2020, children_and_ya, covid-reading, fiction, novel, women-authors","2020 (#52), children_and_ya (#164), covid-reading (#20), fiction (#330), novel (#73), women-authors (#177)",read,,,,1,,,0,,,,,
43238956,RED Christmas,Red Christmas Publication,"Publication, Red Christmas","Rob Cooke, Allegra Khan, D.A Schneider, Esosa Kolawole, Souptik Banerjee, Aaron Campbell, Sussan Opata, Richard Wall, Gloria Ogo","=""""","=""""",0,4.20,Red Christmas Publication,Kindle Edition,248,2018,,,2020/05/08,to-read,to-read (#353),to-read,,,,0,,,0,,,,,
51829048,Tokunbo and the Bolt of Lightning,Esosa Kolawole,"Kolawole, Esosa",,"=""""","=""""",0,5.00,,Kindle Edition,,2020,2020,,2020/05/08,to-read,to-read (#352),to-read,,,,0,,,0,,,,,
3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","John Rutherford, Roberto González Echevarría","=""0142437239""","=""9780142437230""",0,3.88,Penguin Books,Paperback,1023,2003,1615,,2020/03/21,to-read,to-read (#351),to-read,,,,0,,,0,,,,,
102920,Understanding Comics: The Invisible Art,Scott McCloud,"McCloud, Scott",,"=""006097625X""","=""9780060976255""",0,3.97,William Morrow Paperbacks,Paperback,215,1993,1993,,2020/04/28,to-read,to-read (#350),to-read,,,,0,,,0,,,,,
52000453,The Secret of High Eldersham (British Library Crime Classics),Miles Burton,"Burton, Miles",Martin Edwards,"=""""","=""""",0,3.40,Poisoned Pen Press,Kindle Edition,276,2016,,,2020/04/25,to-read,to-read (#349),to-read,,,,0,,,0,,,,,
15791113,"Keeping Hope Alive: One Woman: 90,000 Lives Changed",Hawa Abdi,"Abdi, Hawa",,"=""1455503762""","=""9781455503766""",5,4.16,Grand Central Publishing,Hardcover,246,2013,2013,,2020/05/08,"2020, africa, african-authors-read, authors-of-color, black-authors-read, covid-reading, non-fiction, women-authors","2020 (#51), africa (#22), african-authors-read (#10), authors-of-color (#57), black-authors-read (#50), covid-reading (#19), non-fiction (#122), women-authors (#176)",read,,,,1,,,0,,,,,
36739320,Because Internet: Understanding the New Rules of Language,Gretchen McCulloch,"McCulloch, Gretchen",,"=""0735210934""","=""9780735210936""",5,4.07,Riverhead Books,Hardcover,327,2019,2019,,2020/05/07,"2020, best-of-2020, books-i-loved, books-that-changed-how-i-think, covid-reading, fav-non-fiction, favorites, language, non-fiction, women-authors","2020 (#50), best-of-2020 (#3), books-i-loved (#101), books-that-changed-how-i-think (#42), covid-reading (#18), fav-non-fiction (#8), favorites (#46), language (#21), non-fiction (#121), women-authors (#175)",read,,,,1,,,0,,,,,
1947209,Ponciá Vicêncio,Conceição Evaristo,"Evaristo, Conceição",,"=""0924047348""","=""9780924047343""",4,4.37,Host Publications,Paperback,135,2006,2006,,2020/03/15,"2020, authors-of-color, black-authors-read, covid-reading, fiction, novel, translation, under-1000-reviews, women-authors","2020 (#49), authors-of-color (#56), black-authors-read (#49), covid-reading (#17), fiction (#329), novel (#72), translation (#30), under-1000-reviews (#57), women-authors (#174)",read,,,,1,,,0,,,,,
