"author","auth_POB1","auth_POB2","personal.x","family.x","personal.y","family.y"
"A.A. Milne","unknown","","A.A.","Milne",NA,NA
"A.E.W. Mason","unknown","","A.E.W.","Mason",NA,NA
"Abby  Norman","unknown","","Abby"," Norman",NA,NA
"Abdellah Taïa",NA,NA,NA,NA,"Abdellah","Taïa"
"Abraham Joshua Heschel","unknown","","Abraham","Joshua Heschel","Abraham","Joshua Heschel"
"Ada Palmer","unknown","","Ada","Palmer","Ada","Palmer"
"Adam Roberts","London"," United Kingdom","Adam","Roberts","Adam","Roberts"
"Adin Even-Israel Steinsaltz","unknown","","Adin","Even-Israel Steinsaltz","Adin","Even-Israel Steinsaltz"
"Adrian Dingle","Barmouth"," United Kingdom","Adrian","Dingle",NA,NA
"Agatha Christie","unknown","","Agatha","Christie","Agatha","Christie"
"Ahmadou Kourouma",NA,NA,NA,NA,"Ahmadou","Kourouma"
"Ajuma Oginga Odinga",NA,NA,NA,NA,"Ajuma","Oginga Odinga"
"Akhil Reed Amar",NA,NA,NA,NA,"Akhil","Reed Amar"
"Akwaeke Emezi","unknown","","Akwaeke","Emezi","Akwaeke","Emezi"
"Alain Mabanckou",NA,NA,NA,NA,"Alain","Mabanckou"
"Alan Brennert","unknown","","Alan","Brennert","Alan","Brennert"
"Alan Moore",NA,NA,NA,NA,"Alan","Moore"
"Alberto Manguel","unknown","","Alberto","Manguel","Alberto","Manguel"
"Alex       Johnson","unknown","","Alex","      Johnson",NA,NA
"Alex Haley","unknown","","Alex","Haley","Alex","Haley"
"Alex La Guma",NA,NA,NA,NA,"Alex","La Guma"
"Alexander McCall Smith","unknown","","Alexander","McCall Smith","Alexander","McCall Smith"
"Alexandra David-Néel","unknown","","Alexandra","David-Néel","Alexandra","David-Néel"
"Alexandra Gent",NA,NA,NA,NA,"Alexandra","Gent"
"Alfred J. Kolatch","unknown","","Alfred","J. Kolatch","Alfred","J. Kolatch"
"Alfred Lansing","unknown","","Alfred","Lansing","Alfred","Lansing"
"Alice Walker","unknown","","Alice","Walker","Alice","Walker"
"Alison Weir","unknown","","Alison","Weir","Alison","Weir"
"Allan Edwin Rodway",NA,NA,NA,NA,"Allan","Edwin Rodway"
"Allan Metcalf","unknown","","Allan","Metcalf","Allan","Metcalf"
"Alyssa Cole","unknown","","Alyssa","Cole","Alyssa","Cole"
"Ama Ata Aidoo",NA,NA,NA,NA,"Ama","Ata Aidoo"
"Amanda Montell","unknown","","Amanda","Montell",NA,NA
"Ambelin Kwaymullina","unknown","","Ambelin","Kwaymullina",NA,NA
"Aminatta Forna","Bellshill"," United Kingdom","Aminatta","Forna","Aminatta","Forna"
"Amir Tag Elsir","Sudan","","Amir","Tag Elsir",NA,NA
"Amu Djoleto",NA,NA,NA,NA,"Amu","Djoleto"
"Amy Attorney Delpo","unknown","","Amy","Attorney Delpo","Amy","Attorney Delpo"
"Amy Tan","unknown","","Amy","Tan","Amy","Tan"
"Amy Thomson","unknown","","Amy","Thomson","Amy","Thomson"
"Andrew Forrester",NA,NA,NA,NA,"Andrew","Forrester"
"Andy Weir","unknown","","Andy","Weir","Andy","Weir"
"Angela Flournoy","unknown","","Angela","Flournoy",NA,NA
"Angie Thomas","unknown","","Angie","Thomas",NA,NA
"Anita Diamant","unknown","","Anita","Diamant","Anita","Diamant"
"Ann Leckie","unknown","","Ann","Leckie",NA,NA
"Ann M. Martin",NA,NA,NA,NA,"Ann","M. Martin"
"Ann Radcliffe","unknown","","Ann","Radcliffe",NA,NA
"Ann Turner","unknown","","Ann","Turner","Ann","Turner"
"Anna Siewierska","unknown","","Anna","Siewierska",NA,NA
"Anne  Meredith",NA,NA,NA,NA,"Anne"," Meredith"
"Anne Brontë","unknown","","Anne","Brontë","Anne","Brontë"
"Anne Fadiman","unknown","","Anne","Fadiman","Anne","Fadiman"
"Anne Frank","unknown","","Anne","Frank","Anne","Frank"
"Annelie Wendeberg","unknown","","Annelie","Wendeberg","Annelie","Wendeberg"
"Anthony Wynne",NA,NA,NA,NA,"Anthony","Wynne"
"Antoine de Saint-Exupéry","unknown","","Antoine","de Saint-Exupéry","Antoine","de Saint-Exupéry"
"Anton Treuer","unknown","","Anton","Treuer","Anton","Treuer"
"Ariel Levy","unknown","","Ariel","Levy","Ariel","Levy"
"Arika Okrent","unknown","","Arika","Okrent","Arika","Okrent"
"Art Spiegelman","unknown","","Art","Spiegelman","Art","Spiegelman"
"Arthur  Miller","unknown","","Arthur"," Miller","Arthur"," Miller"
"Arthur Allen","unknown","","Arthur","Allen","Arthur","Allen"
"Arthur C. Clarke","unknown","","Arthur","C. Clarke","Arthur","C. Clarke"
"Arthur C. Danto","unknown","","Arthur","C. Danto","Arthur","C. Danto"
"Arthur Conan Doyle","unknown","","Arthur","Conan Doyle","Arthur","Conan Doyle"
"Asha Kanwar",NA,NA,NA,NA,"Asha","Kanwar"
"Astrid Lindgren","unknown","","Astrid","Lindgren","Astrid","Lindgren"
"Atef Abu Saif",NA,NA,NA,NA,"Atef","Abu Saif"
"Ato Quayson",NA,NA,NA,NA,"Ato","Quayson"
"Attica Locke","unknown","","Attica","Locke",NA,NA
"Audre Lorde","unknown","","Audre","Lorde",NA,NA
"Audrey Niffenegger","unknown","","Audrey","Niffenegger","Audrey","Niffenegger"
"Augustine of Hippo","unknown","","Augustine","of Hippo","Augustine","of Hippo"
"Augusto Macchetto","unknown","","Augusto","Macchetto","Augusto","Macchetto"
"Avi","unknown","","Avi","","Avi",""
"Ayaan Hirsi Ali","unknown","","Ayaan","Hirsi Ali","Ayaan","Hirsi Ali"
"Ayesha Harruna Attah",NA,NA,NA,NA,"Ayesha","Harruna Attah"
"Ayi Kwei Armah",NA,NA,NA,NA,"Ayi","Kwei Armah"
"Ayn Rand","unknown","","Ayn","Rand","Ayn","Rand"
"Ayọ̀bámi Adébáyọ̀","unknown","","Ayọ̀bámi","Adébáyọ̀","Ayọ̀bámi","Adébáyọ̀"
"Balogun Ojetade",NA,NA,NA,NA,"Balogun","Ojetade"
"Barbara Dancygier","unknown","","Barbara","Dancygier",NA,NA
"Barbara Ehrenreich","unknown","","Barbara","Ehrenreich","Barbara","Ehrenreich"
"Barbara Graymont","unknown","","Barbara","Graymont",NA,NA
"Barbara Haber","unknown","","Barbara","Haber","Barbara","Haber"
"Barbara Kingsolver","unknown","","Barbara","Kingsolver","Barbara","Kingsolver"
"Barbara Vine","unknown","","Barbara","Vine",NA,NA
"Barry  Deutsch","unknown","","Barry"," Deutsch","Barry"," Deutsch"
"Barry Denenberg","unknown","","Barry","Denenberg","Barry","Denenberg"
"Barry J. Blake","unknown","","Barry","J. Blake",NA,NA
"Barry W. Holtz","unknown","","Barry","W. Holtz","Barry","W. Holtz"
"Bart D. Ehrman","unknown","","Bart","D. Ehrman","Bart","D. Ehrman"
"Basma Abdel Aziz","unknown","","Basma","Abdel Aziz","Basma","Abdel Aziz"
"Ben Aaronovitch","unknown","","Ben","Aaronovitch","Ben","Aaronovitch"
"Benjamin  Wallace","unknown","","Benjamin"," Wallace","Benjamin"," Wallace"
"Benjamin Hoff","unknown","","Benjamin","Hoff","Benjamin","Hoff"
"Bernard Comrie","unknown","","Bernard","Comrie",NA,NA
"Bernice L. McFadden","unknown","","Bernice","L. McFadden",NA,NA
"Bertrand Russell","unknown","","Bertrand","Russell","Bertrand","Russell"
"Bessie Head",NA,NA,NA,NA,"Bessie","Head"
"Beth Seidel Levine","unknown","","Beth","Seidel Levine","Beth","Seidel Levine"
"Betty  Smith","unknown","","Betty"," Smith","Betty"," Smith"
"Bill Bryson","unknown","","Bill","Bryson","Bill","Bryson"
"Binyavanga Wainaina",NA,NA,NA,NA,"Binyavanga","Wainaina"
"Blu Greenberg","unknown","","Blu","Greenberg","Blu","Greenberg"
"Bob Reiss","unknown","","Bob","Reiss",NA,NA
"Books LLC","unknown","","Books","LLC","Books","LLC"
"Boyd Tonkin",NA,NA,NA,NA,"Boyd","Tonkin"
"Bram Stoker","unknown","","Bram","Stoker","Bram","Stoker"
"Brandon Sanderson","unknown","","Brandon","Sanderson","Brandon","Sanderson"
"Brenda Fowler","unknown","","Brenda","Fowler","Brenda","Fowler"
"Brendan Ó Cathaoir","unknown","","Brendan","Ó Cathaoir","Brendan","Ó Cathaoir"
"Brit Bennett","unknown","","Brit","Bennett",NA,NA
"Britiffe Constable Skottowe","unknown","","Britiffe","Constable Skottowe",NA,NA
"Brooks D. Simpson","unknown","","Brooks","D. Simpson","Brooks","D. Simpson"
"Bruce Feiler","unknown","","Bruce","Feiler","Bruce","Feiler"
"Bryan Sykes","unknown","","Bryan","Sykes","Bryan","Sykes"
"Bryan Talbot",NA,NA,NA,NA,"Bryan","Talbot"
"Buchi Emecheta",NA,NA,NA,NA,"Buchi","Emecheta"
"Buki Papillon",NA,NA,NA,NA,"Buki","Papillon"
"C. Daly King","unknown","","C.","Daly King",NA,NA
"C. Richard King","unknown","","C.","Richard King","C.","Richard King"
"C.H.B. Kitchin","unknown","","C.H.B.","Kitchin",NA,NA
"C.S. Forester","unknown","","C.S.","Forester",NA,NA
"C.S. Lewis","unknown","","C.S.","Lewis","C.S.","Lewis"
"Camara Laye",NA,NA,NA,NA,"Camara","Laye"
"Candice Millard","unknown","","Candice","Millard","Candice","Millard"
"Carl Sagan","unknown","","Carl","Sagan","Carl","Sagan"
"Carl Zimmer","unknown","","Carl","Zimmer","Carl","Zimmer"
"Carlos Ruiz Zafón","unknown","","Carlos","Ruiz Zafón","Carlos","Ruiz Zafón"
"Carol  Anderson","unknown","","Carol"," Anderson","Carol"," Anderson"
"Carol Ann Rinzler","unknown","","Carol","Ann Rinzler","Carol","Ann Rinzler"
"Caroline Criado Perez",NA,NA,NA,NA,"Caroline","Criado Perez"
"Caroline Criado-Pérez","unknown","","Caroline","Criado-Pérez",NA,NA
"Carolyn McCarthy","unknown","","Carolyn","McCarthy","Carolyn","McCarthy"
"Carolyn Meyer",NA,NA,NA,NA,"Carolyn","Meyer"
"Catharine Maria Sedgwick","unknown","","Catharine","Maria Sedgwick",NA,NA
"Celia Lowenthal",NA,NA,NA,NA,"Celia","Lowenthal"
"Chaim Potok","unknown","","Chaim","Potok","Chaim","Potok"
"Chaim Trachtman","unknown","","Chaim","Trachtman","Chaim","Trachtman"
"Charles C. Mann","unknown","","Charles","C. Mann","Charles","C. Mann"
"Charles Darwin","unknown","","Charles","Darwin","Charles","Darwin"
"Charles Dickens","unknown","","Charles","Dickens","Charles","Dickens"
"Charles Hoff",NA,NA,NA,NA,"Charles","Hoff"
"Charles Kingston",NA,NA,NA,NA,"Charles","Kingston"
"Charles Mungoshi",NA,NA,NA,NA,"Charles","Mungoshi"
"Charles Perrault","unknown","","Charles","Perrault","Charles","Perrault"
"Charles R. Johnson",NA,NA,NA,NA,"Charles","R. Johnson"
"Charles Stross","unknown","","Charles","Stross","Charles","Stross"
"Charlotte Brontë","unknown","","Charlotte","Brontë","Charlotte","Brontë"
"Charlotte E. Fonrobert","unknown","","Charlotte","E. Fonrobert","Charlotte","E. Fonrobert"
"Cheikh Hamidou Kane",NA,NA,NA,NA,"Cheikh","Hamidou Kane"
"Chester Himes","unknown","","Chester","Himes",NA,NA
"Chibundu Onuzo","unknown","","Chibundu","Onuzo",NA,NA
"Chigozie Obioma",NA,NA,NA,NA,"Chigozie","Obioma"
"Chimamanda Ngozi Adichie","unknown","","Chimamanda","Ngozi Adichie","Chimamanda","Ngozi Adichie"
"Chinelo Okparanta","unknown","","Chinelo","Okparanta","Chinelo","Okparanta"
"Chinua Achebe","unknown","","Chinua","Achebe","Chinua","Achebe"
"Chip Heath","unknown","","Chip","Heath","Chip","Heath"
"Christina Dalcher","unknown","","Christina","Dalcher","Christina","Dalcher"
"Christopher Booker","unknown","","Christopher","Booker",NA,NA
"Christopher Hastings","unknown","","Christopher","Hastings","Christopher","Hastings"
"Christopher Okigbo",NA,NA,NA,NA,"Christopher","Okigbo"
"Chuck Klosterman","unknown","","Chuck","Klosterman","Chuck","Klosterman"
"Claudia Rankine","unknown","","Claudia","Rankine",NA,NA
"Clemantine Wamariya","Kigali"," Rwanda","Clemantine","Wamariya",NA,NA
"Clint McElroy","unknown","","Clint","McElroy","Clint","McElroy"
"Colin M. Turnbull","unknown","","Colin","M. Turnbull","Colin","M. Turnbull"
"Colleen McCullough","unknown","","Colleen","McCullough","Colleen","McCullough"
"Colson Whitehead","unknown","","Colson","Whitehead","Colson","Whitehead"
"Committee on the Status Contributions an","unknown","","Committee","on the Status Contributions an","Committee","on the Status Contributions an"
"Conceição Evaristo",NA,NA,NA,NA,"Conceição","Evaristo"
"Connie Rose Porter","unknown","","Connie","Rose Porter","Connie","Rose Porter"
"Connie Willis","unknown","","Connie","Willis","Connie","Willis"
"Conor McCreery","unknown","","Conor","McCreery","Conor","McCreery"
"Corrie ten Boom","unknown","","Corrie","ten Boom","Corrie","ten Boom"
"Cory Doctorow","unknown","","Cory","Doctorow","Cory","Doctorow"
"Craig Phillips","unknown","","Craig","Phillips","Craig","Phillips"
"Craig Thompson","unknown","","Craig","Thompson","Craig","Thompson"
"Crystal S. Chan",NA,NA,NA,NA,"Crystal","S. Chan"
"Cynthia Leitich Smith","unknown","","Cynthia","Leitich Smith",NA,NA
"Cyprian Ekwensi",NA,NA,NA,NA,"Cyprian","Ekwensi"
"Cyril Hare","unknown","","Cyril","Hare",NA,NA
"D.K. Publishing",NA,NA,NA,NA,"D.K.","Publishing"
"D.L. Hughley","unknown","","D.L.","Hughley","D.L.","Hughley"
"Dalai Lama XIV","unknown","","Dalai","Lama XIV","Dalai","Lama XIV"
"Dale Spender","unknown","","Dale","Spender",NA,NA
"Dambudzo Marechera",NA,NA,NA,NA,"Dambudzo","Marechera"
"Dan Ariely","unknown","","Dan","Ariely","Dan","Ariely"
"Danez Smith","unknown","","Danez","Smith","Danez","Smith"
"Daniel C. Dennett","unknown","","Daniel","C. Dennett","Daniel","C. Dennett"
"Daniel Defoe","unknown","","Daniel","Defoe","Daniel","Defoe"
"Daniel H. Pink","unknown","","Daniel","H. Pink","Daniel","H. Pink"
"Daniel Handler","unknown","","Daniel","Handler","Daniel","Handler"
"Daniel Heath Justice","unknown","","Daniel","Heath Justice","Daniel","Heath Justice"
"Daniel James Brown","unknown","","Daniel","James Brown","Daniel","James Brown"
"Danielle Corsetto","unknown","","Danielle","Corsetto","Danielle","Corsetto"
"Danielle Ofri","unknown","","Danielle","Ofri","Danielle","Ofri"
"Danielle Teller","unknown","","Danielle","Teller","Danielle","Teller"
"Darrell Huff","unknown","","Darrell","Huff","Darrell","Huff"
"Dave Pelzer","unknown","","Dave","Pelzer","Dave","Pelzer"
"David   Coles",NA,NA,NA,NA,"David","  Coles"
"David  Shapiro","unknown","","David"," Shapiro","David"," Shapiro"
"David  Walton","unknown","","David"," Walton","David"," Walton"
"David Hurst Thomas","unknown","","David","Hurst Thomas","David","Hurst Thomas"
"David J. Morris","unknown","","David","J. Morris","David","J. Morris"
"David Laskin","unknown","","David","Laskin","David","Laskin"
"David Markson","unknown","","David","Markson","David","Markson"
"David Treuer","Washington"," D.C.","David","Treuer","David","Treuer"
"David von Drehle","unknown","","David","von Drehle","David","von Drehle"
"Dayo Olopade",NA,NA,NA,NA,"Dayo","Olopade"
"Debbie Dadey",NA,NA,NA,NA,"Debbie","Dadey"
"Dee Brown","unknown","","Dee","Brown","Dee","Brown"
