author,auth_POB
Aminatta Forna,Bellshill, United Kingdom
Nnedi Okorafor,Cincinnati, OH
Lesley Nneka Arimah,London, United Kingdom
Clemantine Wamariya,Kigali, Rwanda
Warsan Shire,Kenya
Nuruddin Farah,Baidoa, Somalia
Lauren Beukes,Johannesburg, South Africa
Majok Tulba,Sudan
Amir Tag Elsir,Sudan
Malla Nunn,Eswatini
Namwali Serpell,Lusaka, Zambia
Petina Gappah,Copperbelt Province, Zambia
Imbolo Mbue,Limbe, Cameroon
Samrat Upadhyay,Kathmandu, Nepal
Lil Bahadur Chettri,Guwahati, India
Laxmi Prasad Devkota,Kathmandu, Nepal
Esi Edugyan,Calgary, Canada
Maurice Carlos Ruffin,New Orleans
Emily Nussbaum,United States
David Treuer,Washington, D.C.
Adam Roberts,London, United Kingdom
Richard Dawkins,Nairobi, Kenya
Simon J. Ortiz,Albuquerque, NM
Joy Harjo,Tulsa, OK
Susan Deer Cloud,Livingston Manor, NY
Gerald Vizenor,Minneapolis, MN
Duane Niatum,Seattle, WA
N. Scott Momaday,Lawton, OK
Paula Gunn Allen,Albuquerque, NM
Janet Campbell Hale,Riverside, CA
Adrian Dingle,Barmouth, United Kingdom
Hope Nicholson,Winnipeg, Canada
Grace L. Dillon,unknown
MariJo Moore,unknown
Vine Deloria Jr.,unknown
Leslie Marmon Silko,unknown
Lawrence Hill,unknown
Sherman Alexie,unknown
James Abel,unknown
Joseph Boyden,unknown
Louise Erdrich,unknown
Thomas King,unknown
Tommy Orange,unknown
Paul Beatty,unknown
Angela Flournoy,unknown
Yaa Gyasi,unknown
Marlon James,unknown
Colson Whitehead,unknown
Barbara Graymont,unknown
Margaret Wilkerson Sexton,unknown
Sue Grafton,unknown
Trisha R. Thomas,unknown
Nisi Shawl,unknown
Nadifa Mohamed,unknown
Bernice L. McFadden,unknown
Jennifer Nansubuga Makumbi,unknown
Attica Locke,unknown
Nalo Hopkinson,unknown
Tananarive Due,unknown
Nora DeLoach,unknown
Alyssa Cole,unknown
Eleanor Taylor Bland,unknown
Mat Johnson,unknown
Chimamanda Ngozi Adichie,unknown
Jasmine Guillory,unknown
Nicola Yoon,unknown
Joseph L. Graves Jr.,unknown
Philip Nel,unknown
Katherena Vermette,unknown
Tanya Tagaq,unknown
Joshua Whitehead,unknown
Ambelin Kwaymullina,unknown
Cynthia Leitich Smith,unknown
Joseph Bruchac,unknown
Mitiarjuk Nappaaluk,unknown
Terese Marie Mailhot,unknown
Richard Wagamese,unknown
Lee Maracle,unknown
Rebecca Roanhorse,unknown
James D. Doss,unknown
James Welch,unknown
William Least Heat-Moon,unknown
Eric Gansworth,unknown
Eden Robinson,unknown
Ibi Zoboi,unknown
Chinelo Okparanta,unknown
Victor LaValle,unknown
Rashad Harrison,unknown
Nic Stone,unknown
Toni Morrison,unknown
Jason Reynolds,unknown
jayy dodd,unknown
Naomi Jackson,unknown
Zora Neale Hurston,unknown
Chinua Achebe,unknown
Octavia E. Butler,unknown
Novuyo Rosa Tshuma,unknown
Chibundu Onuzo,unknown
Oyinkan Braithwaite,unknown
Zoë Wicomb,unknown
Kopano Matlwa,unknown
Ayọ̀bámi Adébáyọ̀,unknown
Sue Nyathi,unknown
Yewande Omotoso,unknown
Rivers Solomon,unknown
Jamaal May,unknown
Jacqueline Woodson,unknown
Kaitlyn Greenidge,unknown
Brit Bennett,unknown
Tomi Adeyemi,unknown
Kiese Laymon,unknown
Claudia Rankine,unknown
Roxane Gay,unknown
Akwaeke Emezi,unknown
Tayari Jones,unknown
D.L. Hughley,unknown
Danez Smith,unknown
Zadie Smith,unknown
Angie Thomas,unknown
Jesmyn Ward,unknown
C. Richard King,unknown
Phyllis Rose,unknown
Ryan North,unknown
Cory Doctorow,unknown
Matt Ruff,unknown
Barry Denenberg,unknown
Jessica Shattuck,unknown
Jeanne Wakatsuki Houston,unknown
Mary Matsuda Gruenewald,unknown
Connie Willis,unknown
Arthur Conan Doyle,unknown
Anne Frank,unknown
Theodora Kroeber,unknown
Corrie ten Boom,unknown
Art Spiegelman,unknown
Lois Lowry,unknown
Charles C. Mann,unknown
Dee Brown,unknown
Janet Beeler Shaw,unknown
Roxanne Dunbar-Ortiz,unknown
Anton Treuer,unknown
David Hurst Thomas,unknown
Bart D. Ehrman,unknown
Simon Singh,unknown
Kory Stamper,unknown
Margaret Wehrenberg,unknown
Ijeoma Oluo,unknown
Helene Wecker,unknown
Craig Thompson,unknown
Lola Shoneyin,unknown
Vernor Vinge,unknown
Ian Tregillis,unknown
Jasper Fforde,unknown
Douglas Adams,unknown
Thomas M. Disch,unknown
John Sutherland,unknown
Alex       Johnson,unknown
Dale Spender,unknown
Tucker Lieberman,unknown
Neil Barron,unknown
Steven Moore,unknown
Joshua Hammer,unknown
Frederick C. Crews,unknown
Mark Forsyth,unknown
Christopher Booker,unknown
Grady Hendrix,unknown
Lawrence Goldstone,unknown
Jane Smiley,unknown
Alberto Manguel,unknown
Nicholas A. Basbanes,unknown
Simon Winchester,unknown
Pamela Regis,unknown
Ron Goulart,unknown
Will Gompertz,unknown
Audre Lorde,unknown
Erin Meyer,unknown
Jonathan Case,unknown
J.K. Rowling,unknown
Alexander McCall Smith,unknown
James L. Kugel,unknown
Jo Nesbø,unknown
Krishna-Dwaipayana Vyasa,unknown
Arthur  Miller,unknown
Margalit Fox,unknown
Jeremy Love,unknown
Peter Mendelsund,unknown
Bill Bryson,unknown
Maggie Anton,unknown
Stacy King,unknown
Jeremy Sorese,unknown
Hayim Halevy Donin,unknown
Diane Ravitch,unknown
Suzanne Collins,unknown
Martin Edwards,unknown
Conor McCreery,unknown
Elie Wiesel,unknown
Laura Lee Gulledge,unknown
Bryan Sykes,unknown
Lyndsay Faye,unknown
Alfred J. Kolatch,unknown
Ian Mortimer,unknown
Lonely Planet,unknown
Abraham Joshua Heschel,unknown
Lawrence A. Hoffman,unknown
Danielle Corsetto,unknown
Oliver Sacks,unknown
Franz Kafka,unknown
Eric Shanower,unknown
James W. Loewen,unknown
Stefan Bollmann,unknown
Allan Metcalf,unknown
Rebecca Wells,unknown
J. Maarten Troost,unknown
Timothy Egan,unknown
Blu Greenberg,unknown
Helen Oyeyemi,unknown
Bruce Feiler,unknown
Shoshana S. Bennett,unknown
Daniel H. Pink,unknown
Carl Zimmer,unknown
Laura Ingalls Wilder,unknown
Edward Eager,unknown
Augustine of Hippo,unknown
Ted Anderson,unknown
L.M. Montgomery,unknown
Thomas Olde Heuvelt,unknown
Plato,unknown
Audrey Niffenegger,unknown
Anita Diamant,unknown
Frances Hodgson Burnett,unknown
Isabel Greenberg,unknown
Julia Serano,unknown
William Shakespeare,unknown
Ray Bradbury,unknown
David  Shapiro,unknown
Brandon Sanderson,unknown
Mark Twain,unknown
Fred Van Lente,unknown
Benjamin Hoff,unknown
Stephen Jay Gould,unknown
Tim O'Brien,unknown
ONE,unknown
Naomi Novik,unknown
Tracy L. Barr,unknown
Patricia C. Wrede,unknown
Dave Pelzer,unknown
Marjorie Shostak,unknown
Robert Frost,unknown
Joseph Telushkin,unknown
Lao Tzu,unknown
Pema Chödrön,unknown
John Scalzi,unknown
Jonathan Kahn,unknown
Clint McElroy,unknown
Craig Phillips,unknown
Robert A. Heinlein,unknown
Carol Ann Rinzler,unknown
Leslie Meier,unknown
Harriet Beecher Stowe,unknown
Wilkie Collins,unknown
Peter C. Brown,unknown
Amy Attorney Delpo,unknown
Robert Holdstock,unknown
Karen Armstrong,unknown
Unknown,unknown
E. Nesbit,unknown
Frank McCourt,unknown
Laurence Yep,unknown
Jean Thompson,unknown
Mike Green,unknown
Rumi,unknown
Randall Munroe,unknown
Jason  Stearns,unknown
Ben Aaronovitch,unknown
Madeleine L'Engle,unknown
Edmund Crispin,unknown
Colin M. Turnbull,unknown
Matthew McIntosh,unknown
Sally Berkovic,unknown
Stephen R. Bown,unknown
Carlos Ruiz Zafón,unknown
