author,auth_POB1,auth_POB2,personal.x,family.x,personal.y,family.y,gender
George    Robinson,unknown,,George,   Robinson,George,   Robinson,male
George Bellairs,unknown,,George,Bellairs,George,Bellairs,male
George Orwell,unknown,,George,Orwell,George,Orwell,male
George R.R. Martin,unknown,,George,R.R. Martin,George,R.R. Martin,male
George Takei,NA,NA,NA,NA,George,Takei,male
Gerald Vizenor,Minneapolis, MN,Gerald,Vizenor,NA,NA,male
Greg Keyes,unknown,,Greg,Keyes,Greg,Keyes,male
Gregory  Hill,unknown,,Gregory, Hill,Gregory, Hill,male
Gustave Flaubert,unknown,,Gustave,Flaubert,NA,NA,male
Guy Delisle,NA,NA,NA,NA,Guy,Delisle,male
Guy Deutscher,unknown,,Guy,Deutscher,Guy,Deutscher,male
H.G. Wells,unknown,,H.G.,Wells,H.G.,Wells,male
Harry Kemelman,unknown,,Harry,Kemelman,NA,NA,male
Hayim Halevy Donin,unknown,,Hayim,Halevy Donin,Hayim,Halevy Donin,male
Heinrich Harrer,unknown,,Heinrich,Harrer,Heinrich,Harrer,male
Henry David Thoreau,unknown,,Henry,David Thoreau,Henry,David Thoreau,male
Henry Kisor,unknown,,Henry,Kisor,Henry,Kisor,male
Herman Wouk,unknown,,Herman,Wouk,Herman,Wouk,male
Homer,unknown,,Homer,,Homer,,male
Horace Walpole,unknown,,Horace,Walpole,NA,NA,male
Iain Pears,unknown,,Iain,Pears,Iain,Pears,male
Ian Mortimer,unknown,,Ian,Mortimer,Ian,Mortimer,male
Ian Tregillis,unknown,,Ian,Tregillis,Ian,Tregillis,male
Ibram X. Kendi,NA,NA,NA,NA,Ibram,X. Kendi,male
Irving Greenberg,unknown,,Irving,Greenberg,Irving,Greenberg,male
Ishmael Beah,NA,NA,NA,NA,Ishmael,Beah,male
Ishmael Reed,unknown,,Ishmael,Reed,Ishmael,Reed,male
Italo Calvino,unknown,,Italo,Calvino,NA,NA,male
Ivan Turgenev,unknown,,Ivan,Turgenev,NA,NA,male
Jack Lynch,unknown,,Jack,Lynch,Jack,Lynch,male
Jack Mapanje,NA,NA,NA,NA,Jack,Mapanje,male
Jack Miles,unknown,,Jack,Miles,Jack,Miles,male
Jacob Neusner,unknown,,Jacob,Neusner,Jacob,Neusner,male
Jacques Tardi,NA,NA,NA,NA,Jacques,Tardi,male
Jamaal May,unknown,,Jamaal,May,NA,NA,male
James Abel,unknown,,James,Abel,James,Abel,male
James Commey,NA,NA,NA,NA,James,Commey,male
James D. Doss,unknown,,James,D. Doss,NA,NA,male
James Fenimore Cooper,unknown,,James,Fenimore Cooper,NA,NA,male
James Finn Garner,unknown,,James,Finn Garner,James,Finn Garner,male
James Hogg,unknown,,James,Hogg,NA,NA,male
James L. Kugel,unknown,,James,L. Kugel,James,L. Kugel,male
James W. Loewen,unknown,,James,W. Loewen,James,W. Loewen,male
James Welch,unknown,,James,Welch,NA,NA,male
James White,unknown,,James,White,NA,NA,male
Jason  Stearns,unknown,,Jason, Stearns,Jason, Stearns,male
Jason Reynolds,unknown,,Jason,Reynolds,NA,NA,male
Jasper Fforde,unknown,,Jasper,Fforde,Jasper,Fforde,male
Jay Hosler,unknown,,Jay,Hosler,Jay,Hosler,male
jayy dodd,unknown,,jayy,dodd,NA,NA,male
Jean Toomer,unknown,,Jean,Toomer,Jean,Toomer,male
Jeremy Love,unknown,,Jeremy,Love,Jeremy,Love,male
Jeremy Sorese,unknown,,Jeremy,Sorese,Jeremy,Sorese,male
Jerome D. Schein,unknown,,Jerome,D. Schein,Jerome,D. Schein,male
Jerry A. Coyne,unknown,,Jerry,A. Coyne,Jerry,A. Coyne,male
Jim  Murphy,unknown,,Jim, Murphy,Jim, Murphy,male
Jim Ottaviani,NA,NA,NA,NA,Jim,Ottaviani,male
Jo Nesbø,unknown,,Jo,Nesbø,Jo,Nesbø,male
Joe Haldeman,unknown,,Joe,Haldeman,Joe,Haldeman,male
Joe Simpson,unknown,,Joe,Simpson,Joe,Simpson,male
Joel Christian Gill,NA,NA,NA,NA,Joel,Christian Gill,male
Joel Townsley Rogers,unknown,,Joel,Townsley Rogers,NA,NA,male
John             Lewis,NA,NA,NA,NA,John,            Lewis,male
John  Bingham,unknown,,John, Bingham,NA,NA,male
John A. Holm,unknown,,John,A. Holm,John,A. Holm,male
John Bude,NA,NA,NA,NA,John,Bude,male
John D. Preston,unknown,,John,D. Preston,John,D. Preston,male
John Dickson Carr,NA,NA,NA,NA,John,Dickson Carr,male
John Franklin Bardin,unknown,,John,Franklin Bardin,NA,NA,male
John Knowles,unknown,,John,Knowles,John,Knowles,male
John L. Ransom,NA,NA,NA,NA,John,L. Ransom,male
John McWhorter,unknown,,John,McWhorter,John,McWhorter,male
John Medina,unknown,,John,Medina,John,Medina,male
John Rowland,NA,NA,NA,NA,John,Rowland,male
John Scalzi,unknown,,John,Scalzi,John,Scalzi,male
John Steinbeck,unknown,,John,Steinbeck,John,Steinbeck,male
John Stuart Mill,unknown,,John,Stuart Mill,John,Stuart Mill,male
John Sutherland,unknown,,John,Sutherland,John,Sutherland,male
Jonathan Case,unknown,,Jonathan,Case,Jonathan,Case,male
Jonathan Clements,unknown,,Jonathan,Clements,Jonathan,Clements,male
Jonathan Kahn,unknown,,Jonathan,Kahn,Jonathan,Kahn,male
Jonathan Stephenson,unknown,,Jonathan,Stephenson,Jonathan,Stephenson,male
Jonathan Swift,unknown,,Jonathan,Swift,Jonathan,Swift,male
Jorge Luis Borges,unknown,,Jorge,Luis Borges,Jorge,Luis Borges,male
Joseph Boyden,unknown,,Joseph,Boyden,NA,NA,male
Joseph Bruchac,unknown,,Joseph,Bruchac,NA,NA,male
Joseph Conrad,unknown,,Joseph,Conrad,Joseph,Conrad,male
Joseph L. Graves Jr.,unknown,,Joseph,L. Graves Jr.,Joseph,L. Graves Jr.,male
Joseph L. Mbele,NA,NA,NA,NA,Joseph,L. Mbele,male
Joseph Telushkin,unknown,,Joseph,Telushkin,Joseph,Telushkin,male
Josepha Sherman,unknown,,Josepha,Sherman,Josepha,Sherman,male
Joshua Hammer,unknown,,Joshua,Hammer,NA,NA,male
Joshua Whitehead,unknown,,Joshua,Whitehead,NA,NA,male
Jules Verne,unknown,,Jules,Verne,Jules,Verne,male
Justin Cronin,NA,NA,NA,NA,Justin,Cronin,male
Justin McElroy,unknown,,Justin,McElroy,Justin,McElroy,male
Karl Friedrich Kahlert,unknown,,Karl,Friedrich Kahlert,NA,NA,male
Kurt Vonnegut,unknown,,Kurt,Vonnegut,NA,NA,male
Kurt Vonnegut Jr.,NA,NA,NA,NA,Kurt,Vonnegut Jr.,male
Kyle Baker,NA,NA,NA,NA,Kyle,Baker,male
L. Frank Baum,unknown,,L.,Frank Baum,L.,Frank Baum,male
Lao Tzu,unknown,,Lao,Tzu,Lao,Tzu,male
Laurence Yep,unknown,,Laurence,Yep,Laurence,Yep,male
Lawrence A. Hoffman,unknown,,Lawrence,A. Hoffman,Lawrence,A. Hoffman,male
Lawrence Fine,unknown,,Lawrence,Fine,Lawrence,Fine,male
Lawrence Goldstone,unknown,,Lawrence,Goldstone,NA,NA,male
Lawrence Hill,unknown,,Lawrence,Hill,Lawrence,Hill,male
Lemony Snicket,NA,NA,NA,NA,Lemony,Snicket,male
Leonard R. Gribble,NA,NA,NA,NA,Leonard,R. Gribble,male
Leonard Richardson,unknown,,Leonard,Richardson,Leonard,Richardson,male
Lewis Carroll,unknown,,Lewis,Carroll,Lewis,Carroll,male
Louis Sachar,unknown,,Louis,Sachar,Louis,Sachar,male
Mark Abley,unknown,,Mark,Abley,Mark,Abley,male
Mark Forsyth,unknown,,Mark,Forsyth,Mark,Forsyth,male
Mark Twain,unknown,,Mark,Twain,Mark,Twain,male
Marlon James,unknown,,Marlon,James,NA,NA,male
Marquis de Sade,unknown,,Marquis,de Sade,NA,NA,male
Martin Edwards,unknown,,Martin,Edwards,Martin,Edwards,male
Mat Johnson,unknown,,Mat,Johnson,Mat,Johnson,male
Matt Madden,NA,NA,NA,NA,Matt,Madden,male
Matt Ridley,unknown,,Matt,Ridley,Matt,Ridley,male
Matt Ruff,unknown,,Matt,Ruff,Matt,Ruff,male
Matthew Lewis,unknown,,Matthew,Lewis,NA,NA,male
Matthew McIntosh,unknown,,Matthew,McIntosh,Matthew,McIntosh,male
Maurice Carlos Ruffin,New Orleans,,Maurice,Carlos Ruffin,Maurice,Carlos Ruffin,male
Max Gladstone,unknown,,Max,Gladstone,Max,Gladstone,male
Michael       Schmidt,NA,NA,NA,NA,Michael,      Schmidt,male
Michael    Gilbert,NA,NA,NA,NA,Michael,   Gilbert,male
Michael Carasik,unknown,,Michael,Carasik,Michael,Carasik,male
Michael Chabon,NA,NA,NA,NA,Michael,Chabon,male
Michael Crichton,NA,NA,NA,NA,Michael,Crichton,male
Michael Ende,unknown,,Michael,Ende,Michael,Ende,male
Michael J. Benton,unknown,,Michael,J. Benton,Michael,J. Benton,male
Michael Pollan,unknown,,Michael,Pollan,Michael,Pollan,male
Michael Shermer,unknown,,Michael,Shermer,Michael,Shermer,male
Miguel de Cervantes Saavedra,NA,NA,NA,NA,Miguel,de Cervantes Saavedra,male
Mike   Phillips,unknown,,Mike,  Phillips,NA,NA,male
Mike Carey,unknown,,Mike,Carey,Mike,Carey,male
Mike Green,unknown,,Mike,Green,Mike,Green,male
Miles Burton,NA,NA,NA,NA,Miles,Burton,male
Napoleon A. Chagnon,unknown,,Napoleon,A. Chagnon,Napoleon,A. Chagnon,male
Natan Slifkin,unknown,,Natan,Slifkin,Natan,Slifkin,male
Nathaniel Hawthorne,unknown,,Nathaniel,Hawthorne,Nathaniel,Hawthorne,male
Nathaniel Philbrick,unknown,,Nathaniel,Philbrick,Nathaniel,Philbrick,male
Neal Stephenson,unknown,,Neal,Stephenson,Neal,Stephenson,male
Neil Barron,unknown,,Neil,Barron,Neil,Barron,male
Neil Gaiman,unknown,,Neil,Gaiman,Neil,Gaiman,male
Nelson Mandela,NA,NA,NA,NA,Nelson,Mandela,male
Nic Stone,unknown,,Nic,Stone,NA,NA,male
Nicholas A. Basbanes,unknown,,Nicholas,A. Basbanes,NA,NA,male
Nick Lane,unknown,,Nick,Lane,Nick,Lane,male
Norton Juster,unknown,,Norton,Juster,Norton,Juster,male
Nosson Scherman,unknown,,Nosson,Scherman,Nosson,Scherman,male
Okot p'Bitek,NA,NA,NA,NA,Okot,p'Bitek,male
Oliver Sacks,unknown,,Oliver,Sacks,Oliver,Sacks,male
Orson Scott Card,unknown,,Orson,Scott Card,Orson,Scott Card,male
Oscar Wilde,unknown,,Oscar,Wilde,Oscar,Wilde,male
Paul A. Offit,unknown,,Paul,A. Offit,Paul,A. Offit,male
Paul Beatty,unknown,,Paul,Beatty,NA,NA,male
Paul J. Hopper,unknown,,Paul,J. Hopper,NA,NA,male
Peter  Abrahams,NA,NA,NA,NA,Peter, Abrahams,male
Peter Bagge,NA,NA,NA,NA,Peter,Bagge,male
Peter C. Brown,unknown,,Peter,C. Brown,Peter,C. Brown,male
Peter D. Moore,NA,NA,NA,NA,Peter,D. Moore,male
Peter Dickinson,unknown,,Peter,Dickinson,NA,NA,male
Peter Mendelsund,unknown,,Peter,Mendelsund,Peter,Mendelsund,male
Peter Menzel,unknown,,Peter,Menzel,Peter,Menzel,male
Peter Shaffer,NA,NA,NA,NA,Peter,Shaffer,male
Philip Ball,unknown,,Philip,Ball,Philip,Ball,male
Philip Gourevitch,unknown,,Philip,Gourevitch,Philip,Gourevitch,male
Philip K. Dick,unknown,,Philip,K. Dick,NA,NA,male
Philip Nel,unknown,,Philip,Nel,Philip,Nel,male
Plato,unknown,,Plato,,Plato,,male
R. Austin Freeman,unknown,,R.,Austin Freeman,NA,NA,male
R.L. Stine,NA,NA,NA,NA,R.L.,Stine,male
Randall Munroe,unknown,,Randall,Munroe,Randall,Munroe,male
Ray Bradbury,unknown,,Ray,Bradbury,Ray,Bradbury,male
Raymond Postgate,unknown,,Raymond,Postgate,Raymond,Postgate,male
Reinhard W. Sander,NA,NA,NA,NA,Reinhard,W. Sander,male
Reuven Hammer,unknown,,Reuven,Hammer,Reuven,Hammer,male
Richard  Adams,unknown,,Richard, Adams,NA,NA,male
Richard Dawkins,Nairobi, Kenya,Richard,Dawkins,Richard,Dawkins,male
Richard E. Cytowic,unknown,,Richard,E. Cytowic,Richard,E. Cytowic,male
Richard Elliott Friedman,unknown,,Richard,Elliott Friedman,Richard,Elliott Friedman,male
Richard Francis,unknown,,Richard,Francis,Richard,Francis,male
Richard Holloway,unknown,,Richard,Holloway,Richard,Holloway,male
Richard Muhlberger,unknown,,Richard,Muhlberger,Richard,Muhlberger,male
Richard Platt,unknown,,Richard,Platt,Richard,Platt,male
Richard Rothstein,NA,NA,NA,NA,Richard,Rothstein,male
Richard Wagamese,unknown,,Richard,Wagamese,NA,NA,male
Roald Dahl,unknown,,Roald,Dahl,Roald,Dahl,male
Robert A. Heinlein,unknown,,Robert,A. Heinlein,Robert,A. Heinlein,male
Robert Charles Wilson,unknown,,Robert,Charles Wilson,Robert,Charles Wilson,male
Robert Frost,unknown,,Robert,Frost,Robert,Frost,male
Robert H. Rhodes,NA,NA,NA,NA,Robert,H. Rhodes,male
Robert Holdstock,unknown,,Robert,Holdstock,Robert,Holdstock,male
Robert L. Wolke,unknown,,Robert,L. Wolke,Robert,L. Wolke,male
Robert Lacey,NA,NA,NA,NA,Robert,Lacey,male
Robert Lane Greene,unknown,,Robert,Lane Greene,Robert,Lane Greene,male
Robert Player,unknown,,Robert,Player,NA,NA,male
Robert Shea,unknown,,Robert,Shea,Robert,Shea,male
Robert Steven Gottfried,unknown,,Robert,Steven Gottfried,Robert,Steven Gottfried,male
Roger Harms,unknown,,Roger,Harms,Roger,Harms,male
Roger Luckhurst,NA,NA,NA,NA,Roger,Luckhurst,male
Roland Owen Laird Jr.,NA,NA,NA,NA,Roland,Owen Laird Jr.,male
Ron Goulart,unknown,,Ron,Goulart,Ron,Goulart,male
Ronald Knox,unknown,,Ronald,Knox,NA,NA,male
Roy S. Berns,NA,NA,NA,NA,Roy,S. Berns,male
Roy Vickers,unknown,,Roy,Vickers,Roy,Vickers,male
Rudyard Kipling,unknown,,Rudyard,Kipling,Rudyard,Kipling,male
Rumi,unknown,,Rumi,,Rumi,,male
Ryan North,unknown,,Ryan,North,Ryan,North,male
Scott  Meyer,unknown,,Scott, Meyer,Scott, Meyer,male
Scott Lynch,unknown,,Scott,Lynch,Scott,Lynch,male
Scott McCloud,NA,NA,NA,NA,Scott,McCloud,male
Scott O'Dell,unknown,,Scott,O'Dell,Scott,O'Dell,male
Scott Sigler,unknown,,Scott,Sigler,Scott,Sigler,male
Sean B. Carroll,unknown,,Sean,B. Carroll,Sean,B. Carroll,male
Sean Mcevoy,unknown,,Sean,Mcevoy,Sean,Mcevoy,male
Shaun Bythell,NA,NA,NA,NA,Shaun,Bythell,male
Sherman Alexie,unknown,,Sherman,Alexie,Sherman,Alexie,male
Sid Jacobson,NA,NA,NA,NA,Sid,Jacobson,male
Siddhartha Mukherjee,unknown,,Siddhartha,Mukherjee,Siddhartha,Mukherjee,male
Simon J. Ortiz,Albuquerque, NM,Simon,J. Ortiz,NA,NA,male
Simon Singh,unknown,,Simon,Singh,Simon,Singh,male
Simon Winchester,unknown,,Simon,Winchester,NA,NA,male
Solomon Northup,unknown,,Solomon,Northup,Solomon,Northup,male
Sophocles,unknown,,Sophocles,,Sophocles,,male
Stanley Casson,unknown,,Stanley,Casson,NA,NA,male
Stefan Bollmann,unknown,,Stefan,Bollmann,Stefan,Bollmann,male
Stendhal,unknown,,Stendhal,,NA,NA,male
Stephen Jay Gould,unknown,,Stephen,Jay Gould,Stephen,Jay Gould,male
Stephen Lloyd Jones,unknown,,Stephen,Lloyd Jones,Stephen,Lloyd Jones,male
Stephen R. Bown,unknown,,Stephen,R. Bown,Stephen,R. Bown,male
Steven Johnson,unknown,,Steven,Johnson,Steven,Johnson,male
Steven Moore,unknown,,Steven,Moore,Steven,Moore,male
Steven Pinker,unknown,,Steven,Pinker,Steven,Pinker,male
Ted Anderson,unknown,,Ted,Anderson,Ted,Anderson,male
Tendai Huchu,NA,NA,NA,NA,Tendai,Huchu,male
Terry Pratchett,unknown,,Terry,Pratchett,Terry,Pratchett,male
Thomas King,unknown,,Thomas,King,Thomas,King,male
Thomas Kohnstamm,unknown,,Thomas,Kohnstamm,Thomas,Kohnstamm,male
Thomas Love Peacock,unknown,,Thomas,Love Peacock,NA,NA,male
Thomas M. Disch,unknown,,Thomas,M. Disch,Thomas,M. Disch,male
Thomas Mofolo,NA,NA,NA,NA,Thomas,Mofolo,male
Thomas Olde Heuvelt,unknown,,Thomas,Olde Heuvelt,Thomas,Olde Heuvelt,male
Thomas Paine,unknown,,Thomas,Paine,Thomas,Paine,male
Tim DeRoche,unknown,,Tim,DeRoche,Tim,DeRoche,male
Tim Marshall,NA,NA,NA,NA,Tim,Marshall,male
Tim O'Brien,unknown,,Tim,O'Brien,Tim,O'Brien,male
Timothy Egan,unknown,,Timothy,Egan,Timothy,Egan,male
Tommy Orange,unknown,,Tommy,Orange,NA,NA,male
Tucker Lieberman,unknown,,Tucker,Lieberman,NA,NA,male
Vernor Vinge,unknown,,Vernor,Vinge,Vernor,Vinge,male
Victor Hugo,unknown,,Victor,Hugo,NA,NA,male
Victor LaValle,unknown,,Victor,LaValle,Victor,LaValle,male
Vine Deloria Jr.,unknown,,Vine,Deloria Jr.,Vine,Deloria Jr.,male
Wade Miller,unknown,,Wade,Miller,NA,NA,male
Walter Echo-Hawk,unknown,,Walter,Echo-Hawk,Walter,Echo-Hawk,male
Walter M. Miller Jr.,unknown,,Walter,M. Miller Jr.,Walter,M. Miller Jr.,male
Walter Scott,unknown,,Walter,Scott,NA,NA,male
Warsan Shire,Kenya,,Warsan,Shire,Warsan,Shire,male
Wayne Grady,unknown,,Wayne,Grady,Wayne,Grady,male
Wilkie Collins,unknown,,Wilkie,Collins,Wilkie,Collins,male
Will Gompertz,unknown,,Will,Gompertz,Will,Gompertz,male
William Gibson,NA,NA,NA,NA,William,Gibson,male
William Least Heat-Moon,unknown,,William,Least Heat-Moon,NA,NA,male
William Shakespeare,unknown,,William,Shakespeare,William,Shakespeare,male
Xavier Aldana  Reyes,unknown,,Xavier,Aldana  Reyes,Xavier,Aldana  Reyes,male
Yonatan Kolatch,unknown,,Yonatan,Kolatch,Yonatan,Kolatch,male
Akwaeke Emezi,unknown,,Akwaeke,Emezi,Akwaeke,Emezi,other
Mallory Ortberg,unknown,,Mallory,Ortberg,Mallory,Ortberg,other
Adrian Dingle,Barmouth, United Kingdom,Adrian,Dingle,NA,NA,male
Ajuma Oginga Odinga,NA,NA,NA,NA,Ajuma,Oginga Odinga,male
Akhil Reed Amar,NA,NA,NA,NA,Akhil,Reed Amar,male
Alain Mabanckou,NA,NA,NA,NA,Alain,Mabanckou,male
Ama Ata Aidoo,NA,NA,NA,NA,Ama,Ata Aidoo,female
Ambelin Kwaymullina,unknown,,Ambelin,Kwaymullina,NA,NA,female
Amir Tag Elsir,Sudan,,Amir,Tag Elsir,NA,NA,male
Amu Djoleto,NA,NA,NA,NA,Amu,Djoleto,male
Arika Okrent,unknown,,Arika,Okrent,Arika,Okrent,female
Atef Abu Saif,NA,NA,NA,NA,Atef,Abu Saif,male
Ato Quayson,NA,NA,NA,NA,Ato,Quayson,male
Augusto Macchetto,unknown,,Augusto,Macchetto,Augusto,Macchetto,male
Avi,unknown,,Avi,,Avi,,male
Ayesha Harruna Attah,NA,NA,NA,NA,Ayesha,Harruna Attah,female
Ayi Kwei Armah,NA,NA,NA,NA,Ayi,Kwei Armah,male
Ayọ̀bámi Adébáyọ̀,unknown,,Ayọ̀bámi,Adébáyọ̀,Ayọ̀bámi,Adébáyọ̀,female
Balogun Ojetade,NA,NA,NA,NA,Balogun,Ojetade,male
Bernice L. McFadden,unknown,,Bernice,L. McFadden,NA,NA,female
Bessie Head,NA,NA,NA,NA,Bessie,Head,female
Binyavanga Wainaina,NA,NA,NA,NA,Binyavanga,Wainaina,male
Books LLC,unknown,,Books,LLC,Books,LLC,
Brit Bennett,unknown,,Brit,Bennett,NA,NA,female
Britiffe Constable Skottowe,unknown,,Britiffe,Constable Skottowe,NA,NA,male
Brooks D. Simpson,unknown,,Brooks,D. Simpson,Brooks,D. Simpson,male
Buchi Emecheta,NA,NA,NA,NA,Buchi,Emecheta,female
Buki Papillon,NA,NA,NA,NA,Buki,Papillon,female
C. Daly King,unknown,,C.,Daly King,NA,NA,male
C. Richard King,unknown,,C.,Richard King,C.,Richard King,male
C.H.B. Kitchin,unknown,,C.H.B.,Kitchin,NA,NA,male
C.S. Forester,unknown,,C.S.,Forester,NA,NA,male
Camara Laye,NA,NA,NA,NA,Camara,Laye,male
Candice Millard,unknown,,Candice,Millard,Candice,Millard,female
Cheikh Hamidou Kane,NA,NA,NA,NA,Cheikh,Hamidou Kane,male
Chibundu Onuzo,unknown,,Chibundu,Onuzo,NA,NA,female
Chigozie Obioma,NA,NA,NA,NA,Chigozie,Obioma,male
Chinelo Okparanta,unknown,,Chinelo,Okparanta,Chinelo,Okparanta,female
Chip Heath,unknown,,Chip,Heath,Chip,Heath,male
Committee on the Status Contributions an,unknown,,Committee,on the Status Contributions an,Committee,on the Status Contributions an,
Cory Doctorow,unknown,,Cory,Doctorow,Cory,Doctorow,male
Cyprian Ekwensi,NA,NA,NA,NA,Cyprian,Ekwensi,male
D.K. Publishing,NA,NA,NA,NA,D.K.,Publishing,
D.L. Hughley,unknown,,D.L.,Hughley,D.L.,Hughley,male
Dambudzo Marechera,NA,NA,NA,NA,Dambudzo,Marechera,male
Dayo Olopade,NA,NA,NA,NA,Dayo,Olopade,female
Dee Brown,unknown,,Dee,Brown,Dee,Brown,female
Dermot Morrah,unknown,,Dermot,Morrah,Dermot,Morrah,male
Dilman Dila,NA,NA,NA,NA,Dilman,Dila,male
DK Publishing,unknown,,DK,Publishing,NA,NA,
Duane Niatum,Seattle, WA,Duane,Niatum,NA,NA,male
E.C.R. Lorac,NA,NA,NA,NA,E.C.R.,Lorac,female
E.E. Sule,NA,NA,NA,NA,E.E.,Sule,male
Elechi Amadi,NA,NA,NA,NA,Elechi,Amadi,male
Erskine Childers,unknown,,Erskine,Childers,NA,NA,male
Ettagale Blauer,unknown,,Ettagale,Blauer,Ettagale,Blauer,female
Fiston Mwanza Mujila,NA,NA,NA,NA,Fiston,Mwanza Mujila,male
Frances F. Berdan,unknown,,Frances,F. Berdan,Frances,F. Berdan,female
Frances Hodgson Burnett,unknown,,Frances,Hodgson Burnett,Frances,Hodgson Burnett,female
Francis Lathom,unknown,,Francis,Lathom,NA,NA,male
Gabriel Okara,NA,NA,NA,NA,Gabriel,Okara,male
Gail Carson Levine,unknown,,Gail,Carson Levine,Gail,Carson Levine,female
Gene Wolfe,NA,NA,NA,NA,Gene,Wolfe,male
Gil North,NA,NA,NA,NA,Gil,North,male
Gina Kolata,unknown,,Gina,Kolata,Gina,Kolata,female
Gino Wickman,NA,NA,NA,NA,Gino,Wickman,male
Grady Hendrix,unknown,,Grady,Hendrix,Grady,Hendrix,male
Greil Marcus,NA,NA,NA,NA,Greil,Marcus,male
Greville G. Corbett,unknown,,Greville,G. Corbett,NA,NA,male
Hillary Waugh,unknown,,Hillary,Waugh,NA,NA,male
Ibi Zoboi,unknown,,Ibi,Zoboi,NA,NA,female
Illona Linthwaite,unknown,,Illona,Linthwaite,Illona,Linthwaite,female
J. Jefferson Farjeon,NA,NA,NA,NA,J.,Jefferson Farjeon,male
J. Maarten Troost,unknown,,J.,Maarten Troost,J.,Maarten Troost,male
Jana Riess,unknown,,Jana,Riess,Jana,Riess,female
Jean Thompson,unknown,,Jean,Thompson,Jean,Thompson,female
Jô Soares,unknown,,Jô,Soares,NA,NA,male
Jostein Gaarder,unknown,,Jostein,Gaarder,Jostein,Gaarder,male
Julian Symons,unknown,,Julian,Symons,Julian,Symons,male
Kai Ashante Wilson,NA,NA,NA,NA,Kai,Ashante Wilson,male
Kaouther Adimi,NA,NA,NA,NA,Kaouther,Adimi,female
Keezy Young,unknown,,Keezy,Young,Keezy,Young,other
Keisuke Matsuoka,unknown,,Keisuke,Matsuoka,NA,NA,male
Ken Saro-Wiwa,NA,NA,NA,NA,Ken,Saro-Wiwa,male
Kiese Laymon,unknown,,Kiese,Laymon,NA,NA,male
Kiran Millwood Hargrave,NA,NA,NA,NA,Kiran,Millwood Hargrave,female
Kiyoshi Kiyosawa,NA,NA,NA,NA,Kiyoshi,Kiyosawa,male
Kofi Aidoo,NA,NA,NA,NA,Kofi,Aidoo,male
Kopano Matlwa,unknown,,Kopano,Matlwa,Kopano,Matlwa,female
Krishna-Dwaipayana Vyasa,unknown,,Krishna-Dwaipayana,Vyasa,Krishna-Dwaipayana,Vyasa,male
Laurence Rees,unknown,,Laurence,Rees,Laurence,Rees,male
Laurence Sterne,unknown,,Laurence,Sterne,NA,NA,male
Lauri Kubuitsile,NA,NA,NA,NA,Lauri,Kubuitsile,female
Laxmi Prasad Devkota,Kathmandu, Nepal,Laxmi,Prasad Devkota,NA,NA,male
Lee Maracle,unknown,,Lee,Maracle,NA,NA,female
Lene Kaaberbøl,unknown,,Lene,Kaaberbøl,Lene,Kaaberbøl,female
Lesley Lokko,NA,NA,NA,NA,Lesley,Lokko,female
Lesley Nneka Arimah,London, United Kingdom,Lesley,Nneka Arimah,NA,NA,female
Lil Bahadur Chettri,Guwahati, India,Lil,Bahadur Chettri,NA,NA,male
Lindsey Fitzharris,unknown,,Lindsey,Fitzharris,Lindsey,Fitzharris,female
Lois Austen-Leigh,NA,NA,NA,NA,Lois,Austen-Leigh,female
Lois Lowry,unknown,,Lois,Lowry,Lois,Lowry,female
Lonely Planet,unknown,,Lonely,Planet,Lonely,Planet,
Lyndsay Faye,unknown,,Lyndsay,Faye,Lyndsay,Faye,female
Lynn Brock,unknown,,Lynn,Brock,NA,NA,male
M.R. Carey,unknown,,M.R.,Carey,M.R.,Carey,male
Maaza Mengiste,NA,NA,NA,NA,Maaza,Mengiste,female
Mahlon B. Hoagland,unknown,,Mahlon,B. Hoagland,Mahlon,B. Hoagland,male
Maj Sjöwall,unknown,,Maj,Sjöwall,Maj,Sjöwall,female
Majok Tulba,Sudan,,Majok,Tulba,Majok,Tulba,male
Makiko Nakano,NA,NA,NA,NA,Makiko,Nakano,female
Manal Al-Sharif,unknown,,Manal,Al-Sharif,Manal,Al-Sharif,female
Marguerite Abouet,unknown,,Marguerite,Abouet,Marguerite,Abouet,female
Marion Dane Bauer,unknown,,Marion,Dane Bauer,Marion,Dane Bauer,female
Mavis Doriel Hay,NA,NA,NA,NA,Mavis,Doriel Hay,female
Maxine Rose Schur,NA,NA,NA,NA,Maxine,Rose Schur,female
Mayo Clinic,unknown,,Mayo,Clinic,Mayo,Clinic,
Mbulelo Vizikhungo Mzamane,NA,NA,NA,NA,Mbulelo,Vizikhungo Mzamane,male
Micah D. Halpern,unknown,,Micah,D. Halpern,Micah,D. Halpern,male
Michitsuna no Haha,NA,NA,NA,NA,Michitsuna,no Haha,female
Mimi Matthews,unknown,,Mimi,Matthews,NA,NA,female
Mitiarjuk Nappaaluk,unknown,,Mitiarjuk,Nappaaluk,NA,NA,female
Modisana Mosweu,NA,NA,NA,NA,Modisana,Mosweu,
Mort Rosenblum,unknown,,Mort,Rosenblum,Mort,Rosenblum,male
Mtutuzeli Matshoba,NA,NA,NA,NA,Mtutuzeli,Matshoba,male
Murasaki Shikibu,NA,NA,NA,NA,Murasaki,Shikibu,female
N. Scott Momaday,Lawton, OK,N.,Scott Momaday,NA,NA,male
Nadifa Mohamed,unknown,,Nadifa,Mohamed,Nadifa,Mohamed,female
